Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda, 0.72 , 0.60 , 0.30 , 0.26 , 0.32 , 0.33 , 0.11 , 1.10 , 0.17 , 0.19 , 1.02 , 1.09 , 0.45 , 0.69 , 0.55 , 1.10 , 1.14 , 1.38 , 1.34 , 1.71 , 1.95 , 3.44 , 3.00 , 2.00 , 2.00 , 3.00 , 2.00 
Aruba, 16.22 , 4.99 , 1.54 , 5.30 , 7.39 , 7.05 , 5.32 , 5.17 , 5.17 , 15.34 , 11.53 , 13.11 , 10.98 , 11.89 , 10.08 , 10.57 , 11.75 , 11.18 , 8.57 , 3.46 , 1.82 , 1.64 , 2.00 , 2.00 , 4.00 , 5.00 , 3.00 
Bahamas, 8.36 , 8.50 , 7.56 , 8.25 , 15.62 , 13.31 , 11.82 , 9.48 , 6.19 , 6.25 , 13.20 , 14.91 , 12.29 , 17.39 , 15.79 , 12.89 , 12.14 , 11.66 , 17.82 , 13.74 , 14.45 , 10.31 , 15.00 , 14.00 , 13.00 , 17.00 , 13.00 
Barbados, 3.51 , 3.43 , 3.26 , 2.57 , 3.90 , 4.99 , 6.78 , 5.88 , 8.57 , 6.86 , 6.94 , 7.89 , 10.12 , 9.08 , 10.88 , 4.97 , 4.71 , 4.36 , 4.51 , 5.17 , 4.78 , 4.18 , 5.00 , 5.00 , 5.00 , 6.00 , 5.00 
Cayman Islands, 0.26 , 0.48 , 0.39 , 0.26 , 0.25 , 0.37 , 0.27 , 0.30 , 1.93 , 0.23 , 0.31 , 0.27 , 0.57 , 2.02 , 0.39 , 0.17 , 0.30 , 0.17 , 0.65 , 0.87 , 1.95 , 1.95 , 2.00 , 2.00 , 3.00 , 3.00 , 4.00 
Dominica, 0.00 , 0.51 , 0.50 , 0.28 , 0.62 , 0.18 , 2.99 , 1.07 , 0.69 , 0.49 , 1.53 , 0.62 , 1.10 , 1.75 , 1.84 , 0.74 , 0.25 , 0.30 , 0.34 , 0.44 , 0.44 , 0.40 , -   , -   , 6.00 , 1.00 , -   
Grenada, 0.65 , 0.42 , 0.29 , 0.49 , 0.49 , 0.38 , 0.86 , 0.33 , 0.62 , 0.52 , 0.66 , 0.75 , 0.76 , 0.85 , 0.56 , 0.63 , 0.68 , 0.54 , 1.03 , 0.60 , 0.98 , 1.06 , 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
Montserrat, 0.06 , 0.10 , 0.10 , 0.11 , 0.10 , 0.10 , 0.05 , -   , -   , 0.13 , 0.05 , 0.05 , 0.06 , 0.04 , 0.05 , 0.04 , 0.06 , 0.03 , 0.03 , 0.03 , 0.03 , 0.07 , -   , -   , -   , -   , -   
Netherlands Antilles, 6.68 , 8.25 , 7.35 , 9.07 , 10.29 , 8.47 , 4.29 , 7.00 , 15.49 , 15.13 , 3.73 , 4.00 , 4.10 , 2.76 , 2.74 , 6.12 , 10.08 , 6.77 , 8.20 , 8.90 , 6.21 , 5.02 , 5.00 , 7.00 , 6.00 , 6.00 , 6.00 
Puerto Rico, 8.82 , 25.56 , 14.11 , 14.91 , 19.90 , 6.78 , 16.42 , 10.83 , 98.84 , 168.04 , 134.09 , 72.07 , 112.79 , 78.76 , 100.23 , 114.49 , 54.76 , 51.55 , 105.29 , 158.08 , 164.05 , 122.07 , 177.00 , 166.00 , 199.00 , 191.00 , 185.00 
Saint Kitts and Nevis, 0.43 , 1.30 , 1.30 , 0.43 , 0.43 , 0.43 , 0.43 , 0.43 , 0.36 , 0.15 , 0.29 , 0.37 , 0.35 , 0.50 , 0.30 , 0.19 , 0.22 , 0.21 , 0.54 , 0.66 , 0.39 , 0.44 , 1.00 , 1.00 , -   , -   , -   
Saint Lucia, 1.97 , 3.06 , 1.53 , 1.79 , 2.14 , 1.63 , 2.28 , 2.77 , 2.97 , 2.37 , 2.37 , 3.00 , 1.29 , 2.42 , 3.49 , 2.33 , 1.88 , 2.26 , 2.04 , 1.37 , 1.80 , 0.97 , 3.00 , 2.00 , 2.00 , 2.00 , 2.00 
